Age,Loan_Amount,Income_Level,Income_Source,Default_Status
56.0,20776.0,High,Salary,Paid
46.0,42835.0,Medium,Small Business,Paid
32.0,19788.0,Low,Daily Wage,Paid
60.0,15660.0,High,Salary,Paid
25.0,14478.0,Low,Salary,Default
38.0,18210.0,High,Small Business,Paid
56.0,20922.0,Medium,Salary,Paid
36.0,46289.0,Medium,Salary,Paid
40.0,43340.0,Medium,Small Business,Paid
28.0,49850.0,Low,Salary,Paid
28.0,48163.0,Low,Salary,Paid
41.0,28642.0,High,Daily Wage,Paid
53.0,21094.0,High,Salary,Paid
57.0,32423.0,Low,Small Business,Default
41.0,43418.0,High,Commission,Paid
20.0,15741.0,High,Pension,Paid
39.0,16838.0,Medium,Small Business,Default
19.0,13262.0,Low,Salary,Paid
41.0,14996.0,High,Small Business,Paid
61.0,32164.0,Medium,Salary,Paid
47.0,45595.0,High,Salary,Paid
55.0,40257.0,High,Daily Wage,Paid
19.0,24211.0,High,Daily Wage,Paid
38.0,40453.0,Medium,Small Business,Paid
50.0,15232.0,Low,Salary,Paid
29.0,12217.0,Low,Daily Wage,Default
39.0,34229.0,Low,Daily Wage,Paid
61.0,24232.0,Low,Small Business,Paid
42.0,35613.0,Medium,Salary,Paid
44.0,24026.0,Medium,Salary,Paid
59.0,38554.0,High,Salary,Paid
45.0,40908.0,Low,Salary,Paid
33.0,29610.0,Medium,Daily Wage,Paid
32.0,49605.0,Low,Salary,Default
64.0,17031.0,Low,Small Business,Paid
61.0,35515.0,Low,Salary,Paid
20.0,46484.0,Medium,Salary,Paid
54.0,46182.0,Low,Daily Wage,Paid
24.0,10570.0,Medium,Salary,Paid
38.0,42254.0,Low,Daily Wage,Paid
26.0,29288.0,High,Salary,Paid
56.0,23288.0,High,Salary,Paid
35.0,39877.0,High,Small Business,Paid
21.0,28889.0,High,Salary,Paid
42.0,10917.0,High,Daily Wage,Paid
31.0,20066.0,High,Salary,Paid
26.0,39504.0,Medium,Salary,Paid
43.0,16982.0,Low,Daily Wage,Default
19.0,49104.0,Low,Salary,Default
37.0,28062.0,Low,Pension,Paid
45.0,26999.0,Medium,Daily Wage,Paid
64.0,19941.0,Medium,Salary,Paid
24.0,33470.0,High,Small Business,Paid
61.0,31133.0,High,Salary,Paid
25.0,14529.0,Medium,Salary,Default
64.0,27519.0,Medium,Daily Wage,Paid
52.0,,High,Daily Wage,Paid
31.0,18566.0,Low,Salary,Paid
34.0,17226.0,Medium,Salary,Default
53.0,47930.0,Low,Pension,Paid
57.0,31259.0,Medium,Daily Wage,Default
21.0,44087.0,Low,Salary,Paid
19.0,11141.0,High,Daily Wage,Paid
23.0,14627.0,Medium,Daily Wage,Paid
59.0,12690.0,Low,Salary,Default
21.0,13255.0,Low,Salary,Paid
46.0,15213.0,Medium,Daily Wage,Default
35.0,46876.0,High,Daily Wage,Paid
43.0,29404.0,Medium,Salary,Paid
61.0,35380.0,Medium,Commission,Paid
51.0,35520.0,Low,Small Business,Paid
27.0,29173.0,Medium,Daily Wage,Paid
53.0,33989.0,Medium,Small Business,Paid
31.0,34519.0,Medium,Salary,Paid
48.0,32439.0,Low,Small Business,Paid
32.0,21413.0,Medium,Daily Wage,Default
25.0,24995.0,Medium,Salary,Default
31.0,33559.0,High,Small Business,Paid
40.0,33513.0,High,Daily Wage,Paid
57.0,15021.0,Medium,Pension,Paid
38.0,42464.0,Medium,Small Business,Paid
33.0,31119.0,Low,Commission,Paid
62.0,39299.0,High,Daily Wage,Paid
35.0,49350.0,Medium,Daily Wage,Paid
64.0,35517.0,Low,Daily Wage,Default
,23117.0,Low,Commission,Default
43.0,32250.0,High,Daily Wage,Paid
42.0,28950.0,Low,Salary,Paid
62.0,27359.0,Medium,Salary,Default
58.0,33596.0,Medium,Salary,Paid
46.0,35530.0,Low,Daily Wage,Paid
32.0,11262.0,Low,Salary,Paid
62.0,32615.0,High,Small Business,Paid
18.0,13327.0,High,Daily Wage,Paid
42.0,39768.0,Low,Small Business,Default
24.0,38850.0,High,Salary,Paid
26.0,26848.0,Medium,Salary,Paid
41.0,49542.0,Medium,Salary,Paid
18.0,25160.0,Medium,Daily Wage,Paid
61.0,43998.0,High,Salary,Paid
25.0,37230.0,Medium,Small Business,Paid
41.0,19076.0,Low,Daily Wage,Paid
28.0,13805.0,High,Salary,Paid
34.0,41085.0,Medium,Daily Wage,Paid
25.0,24715.0,Low,Salary,Paid
52.0,15750.0,Medium,Salary,Paid
52.0,23232.0,Medium,Salary,Paid
50.0,45903.0,High,Daily Wage,Paid
22.0,16953.0,Medium,Commission,Paid
59.0,42093.0,Low,Daily Wage,Default
56.0,35500.0,Medium,Salary,Paid
58.0,32418.0,Medium,Salary,Paid
45.0,44314.0,Low,Small Business,Default
24.0,32449.0,Medium,Daily Wage,Default
26.0,27478.0,High,Small Business,Paid
25.0,45179.0,Low,Salary,Paid
29.0,35338.0,Medium,Salary,Paid
51.0,36899.0,Low,Salary,Paid
50.0,14145.0,Low,Small Business,Default
40.0,42101.0,Low,Salary,Default
41.0,12775.0,Low,Small Business,Paid
54.0,41647.0,High,Daily Wage,Paid
52.0,29539.0,Low,Pension,Default
61.0,46738.0,Medium,Daily Wage,Default
57.0,36616.0,Low,Salary,Paid
39.0,24119.0,High,Salary,Paid
44.0,35159.0,Medium,Salary,Default
52.0,47099.0,Medium,Daily Wage,Paid
18.0,20295.0,Low,Salary,Default
52.0,,Medium,Daily Wage,Paid
,34685.0,Low,Salary,Paid
64.0,35479.0,High,Daily Wage,Paid
31.0,43629.0,Medium,Salary,Paid
20.0,27033.0,Medium,Daily Wage,Paid
18.0,46902.0,Medium,Daily Wage,Paid
22.0,25408.0,Low,Daily Wage,Paid
43.0,27420.0,Medium,Salary,Paid
31.0,26351.0,Medium,Small Business,Default
56.0,14131.0,Medium,Pension,Paid
44.0,21349.0,Medium,Daily Wage,Paid
26.0,48225.0,Low,Salary,Paid
32.0,48847.0,Low,Salary,Default
32.0,22453.0,High,Salary,Paid
43.0,28814.0,Medium,Salary,Paid
59.0,28263.0,Medium,Daily Wage,Paid
30.0,22158.0,High,Salary,Paid
49.0,25735.0,Low,Salary,Paid
56.0,25830.0,High,Daily Wage,Paid
49.0,33926.0,High,Salary,Paid
21.0,44779.0,High,Salary,Paid
47.0,13373.0,High,Daily Wage,Paid
54.0,20335.0,Low,Salary,Paid
40.0,33741.0,Low,Small Business,Paid
56.0,20692.0,Medium,Small Business,Paid
,44057.0,Low,Salary,Default
32.0,11447.0,Low,Salary,Default
60.0,29583.0,Medium,Salary,Paid
,32765.0,Low,Salary,Default
53.0,33906.0,High,Daily Wage,Paid
30.0,29567.0,High,Salary,Paid
49.0,24139.0,High,Salary,Paid
24.0,48230.0,Medium,Salary,Default
,29520.0,High,Pension,Paid
45.0,29702.0,High,Small Business,Paid
19.0,35566.0,Medium,Daily Wage,Paid
59.0,17657.0,Low,Daily Wage,Paid
62.0,47688.0,High,Daily Wage,Paid
23.0,40134.0,High,Salary,Paid
45.0,20345.0,Medium,Salary,Paid
45.0,37413.0,Low,Commission,Paid
61.0,15208.0,Medium,Salary,Paid
61.0,43455.0,Low,Small Business,Default
37.0,38018.0,High,Salary,Paid
47.0,18080.0,High,Small Business,Paid
28.0,31902.0,Low,Salary,Default
45.0,19486.0,Medium,Salary,Paid
42.0,48862.0,Low,Salary,Default
56.0,31158.0,Medium,Salary,Paid
50.0,45871.0,Low,Salary,Paid
18.0,45208.0,Medium,Daily Wage,Paid
44.0,,Low,Daily Wage,Default
30.0,41379.0,Low,Salary,Default
58.0,38378.0,Medium,Salary,Paid
20.0,,Low,Daily Wage,Paid
56.0,24031.0,Medium,Daily Wage,Paid
23.0,24536.0,Low,Daily Wage,Paid
25.0,10446.0,Medium,Salary,Paid
44.0,46683.0,High,Daily Wage,Paid
26.0,27618.0,High,Daily Wage,Paid
54.0,16587.0,High,Daily Wage,Paid
50.0,41480.0,High,Daily Wage,Paid
59.0,42994.0,Low,Small Business,Paid
61.0,30527.0,Low,Daily Wage,Paid
41.0,33569.0,Medium,Salary,Paid
32.0,21151.0,High,Salary,Paid
49.0,15558.0,High,Commission,Paid
49.0,42954.0,Low,Daily Wage,Paid
41.0,45303.0,Low,Daily Wage,Paid
58.0,44700.0,Low,Daily Wage,Default
29.0,37500.0,Medium,Daily Wage,Paid
56.0,12032.0,Medium,Salary,Paid
19.0,11252.0,Low,Daily Wage,Paid
20.0,15509.0,Medium,Daily Wage,Paid
54.0,47842.0,Medium,Small Business,Paid
34.0,23900.0,Medium,Salary,Paid
19.0,24523.0,Low,Daily Wage,Paid
19.0,11881.0,High,Daily Wage,Paid
45.0,43037.0,Medium,Daily Wage,Paid
40.0,11630.0,High,Pension,Paid
54.0,30789.0,High,Small Business,Paid
49.0,32523.0,Low,Small Business,Paid
50.0,27958.0,Low,Pension,Paid
18.0,11695.0,Medium,Salary,Paid
36.0,24821.0,Low,Daily Wage,Default
19.0,13262.0,High,Salary,Paid
61.0,11445.0,Medium,Salary,Paid
43.0,26436.0,High,Small Business,Paid
49.0,19949.0,Low,Salary,Default
23.0,33963.0,Low,Salary,Paid
49.0,39932.0,Medium,Pension,Default
21.0,16901.0,Low,Daily Wage,Default
28.0,43487.0,Medium,Small Business,Paid
34.0,18597.0,High,Daily Wage,Paid
55.0,16855.0,Medium,Salary,Paid
41.0,28678.0,Medium,Daily Wage,Paid
22.0,18263.0,Low,Salary,Paid
51.0,35805.0,Low,Salary,Paid
23.0,36143.0,High,Salary,Paid
39.0,21874.0,High,Small Business,Paid
28.0,37529.0,Medium,Salary,Paid
33.0,30866.0,High,Salary,Paid
50.0,24079.0,Medium,Daily Wage,Default
26.0,17243.0,Low,Small Business,Paid
23.0,39872.0,Low,Daily Wage,Paid
33.0,19018.0,High,Daily Wage,Paid
46.0,22100.0,Low,Daily Wage,Default
20.0,29800.0,Medium,Salary,Paid
37.0,36910.0,Medium,Small Business,Paid
53.0,39437.0,Medium,Daily Wage,Paid
36.0,47588.0,Medium,Salary,Paid
43.0,21001.0,Low,Small Business,Default
20.0,29942.0,Low,Salary,Paid
36.0,30862.0,Medium,Small Business,Paid
37.0,21669.0,Medium,Daily Wage,Paid
49.0,25916.0,Medium,Salary,Paid
24.0,20878.0,Medium,Daily Wage,Paid
58.0,12985.0,Low,Commission,Paid
50.0,42369.0,High,Salary,Paid
57.0,18112.0,Medium,Salary,Paid
56.0,28931.0,Low,Daily Wage,Paid
35.0,37340.0,Medium,Daily Wage,Paid
57.0,10336.0,High,Daily Wage,Paid
18.0,29363.0,High,Salary,Paid
28.0,13968.0,Low,Daily Wage,Paid
45.0,43678.0,Medium,Salary,Paid
42.0,26279.0,Low,Daily Wage,Default
40.0,13129.0,Low,Small Business,Paid
48.0,48215.0,Medium,Daily Wage,Paid
47.0,48897.0,Medium,Daily Wage,Paid
59.0,15850.0,Medium,Small Business,Paid
52.0,30588.0,Low,Salary,Default
24.0,21949.0,Low,Salary,Paid
33.0,18519.0,Medium,Daily Wage,Default
43.0,36375.0,Low,Salary,Paid
19.0,43082.0,Low,Salary,Paid
18.0,21737.0,Low,Daily Wage,Paid
29.0,11134.0,Medium,Salary,Default
22.0,20938.0,Low,Salary,Paid
54.0,34486.0,Medium,Daily Wage,Default
49.0,36096.0,Low,Pension,Paid
26.0,15592.0,Low,Small Business,Default
58.0,28108.0,Medium,Daily Wage,Paid
52.0,27270.0,Low,Salary,Paid
36.0,37649.0,Medium,Daily Wage,Paid
33.0,20997.0,Low,Small Business,Default
20.0,43489.0,Medium,Salary,Paid
37.0,19104.0,Low,Daily Wage,Paid
41.0,10870.0,Low,Daily Wage,Default
50.0,38684.0,Medium,Daily Wage,Paid
41.0,49519.0,High,Salary,Paid
28.0,44524.0,Low,Salary,Paid
25.0,40957.0,Medium,Daily Wage,Default
53.0,43885.0,Medium,Daily Wage,Paid
55.0,45596.0,Medium,Daily Wage,Default
57.0,39866.0,High,Daily Wage,Paid
37.0,40676.0,Low,Salary,Paid
52.0,23878.0,High,Salary,Paid
42.0,49760.0,Low,Salary,Paid
52.0,37559.0,Low,Commission,Paid
42.0,16771.0,High,Pension,Paid
46.0,26526.0,Medium,Salary,Paid
35.0,39896.0,Medium,Salary,Paid
63.0,41923.0,Medium,Commission,Paid
35.0,46203.0,Medium,Daily Wage,Default
19.0,49390.0,Low,Daily Wage,Paid
52.0,22852.0,Medium,Daily Wage,Paid
33.0,11848.0,Low,Salary,Default
58.0,41027.0,High,Small Business,Paid
53.0,45464.0,High,Salary,Paid
50.0,44485.0,Low,Salary,Paid
21.0,29456.0,Medium,Salary,Paid
50.0,19259.0,Low,Daily Wage,Paid
31.0,45554.0,Low,Daily Wage,Paid
38.0,23409.0,High,Daily Wage,Paid
37.0,13791.0,Low,Daily Wage,Default
25.0,35864.0,Medium,Small Business,Paid
24.0,46639.0,High,Small Business,Paid
20.0,44574.0,High,Small Business,Paid
34.0,27888.0,Medium,Salary,Paid
50.0,29692.0,Medium,Small Business,Paid
29.0,33501.0,Medium,Salary,Paid
39.0,23304.0,High,Salary,Paid
39.0,37527.0,Medium,Salary,Paid
63.0,28074.0,Medium,Salary,Paid
47.0,25549.0,Low,Salary,Paid
55.0,39963.0,Low,Salary,Paid
55.0,35920.0,Medium,Daily Wage,Paid
62.0,40826.0,High,Salary,Paid
25.0,46071.0,High,Salary,Paid
44.0,26061.0,High,Daily Wage,Paid
44.0,38810.0,Medium,Commission,Paid
51.0,32800.0,Medium,Daily Wage,Paid
38.0,19940.0,High,Daily Wage,Paid
47.0,13924.0,Medium,Daily Wage,Paid
50.0,38054.0,Low,Small Business,Paid
45.0,19783.0,Medium,Salary,Paid
64.0,47253.0,High,Salary,Paid
50.0,23233.0,Low,Small Business,Paid
22.0,34484.0,High,Daily Wage,Paid
36.0,35068.0,Low,Daily Wage,Paid
21.0,10191.0,Medium,Daily Wage,Paid
52.0,35074.0,Medium,Salary,Default
34.0,14917.0,Medium,Salary,Paid
61.0,48599.0,Medium,Daily Wage,Default
45.0,35832.0,High,Daily Wage,Paid
47.0,30706.0,Medium,Daily Wage,Paid
46.0,23682.0,Low,Salary,Paid
63.0,36762.0,Medium,Daily Wage,Paid
23.0,33383.0,Low,Daily Wage,Paid
52.0,37796.0,Low,Salary,Paid
58.0,33666.0,Low,Salary,Paid
54.0,35662.0,High,Salary,Paid
41.0,44642.0,Medium,Salary,Paid
46.0,47531.0,Medium,Salary,Paid
63.0,20234.0,Low,Salary,Paid
48.0,19221.0,Low,Commission,Paid
